taxon,lfc,se,W,p_value,q_value,diff_abundant,diff_robust,direction
114812.1,-0.0231722842257796,0.04991435044116419,-0.46424092512420034,0.6461967219580642,1,FALSE,FALSE,Higher in Healthy
228402.1,-0.006007718369517511,0.04983379342490204,-0.1205551084239845,0.9050071032369025,1,FALSE,FALSE,Higher in Healthy
257397,0.0720248527352785,0.05104144710877356,1.4111052255588985,0.16440583911877996,1,FALSE,FALSE,Higher in T2D
257397.1,0.016794476714737407,0.05097514467403425,0.32946403236580096,0.7426880721362348,1,FALSE,FALSE,Higher in T2D
34164,0.10498786395676704,0.0516851946126397,2.0312947400819517,0.044751357753539917,1,FALSE,FALSE,Higher in T2D
34164.1,0.021599393520060347,0.05277600283185088,0.40926543051920716,0.6828693000681493,1,FALSE,FALSE,Higher in T2D
152005.1,0.05477645118125165,0.048917927761075085,1.1197622975525612,0.264692296659221,1,FALSE,FALSE,Higher in T2D
232486,0.1225369689700574,0.05008609117630993,2.446526891841298,0.019749159246016116,1,FALSE,FALSE,Higher in T2D
232486.1,0.02810367217989036,0.04985554485942318,0.5637020367370129,0.5747584365304002,1,FALSE,FALSE,Higher in T2D
117829.1,0.007686413414530611,0.051313103724055974,0.1497943577115403,0.8812992216601128,1,FALSE,FALSE,Higher in T2D
121654,-0.11997396161710651,0.05006330811604873,-2.3964449440496844,0.02507768381447257,1,FALSE,FALSE,Higher in Healthy
81126.1,-0.08160260239416876,0.050568072135421034,-1.6137178845900515,0.11407794558439516,1,FALSE,FALSE,Higher in Healthy
30468.1,0.06404783874081899,0.04983890751360289,1.2850971647670637,0.2056374427646203,1,FALSE,FALSE,Higher in T2D
43467,-0.02019680045818138,0.050007486560954634,-0.40387553638720264,0.6890769330756972,1,FALSE,FALSE,Higher in Healthy
65791.1,0.037811458137417354,0.05002576631504126,0.7558396586930158,0.4562894458566634,1,FALSE,FALSE,Higher in T2D
42037.1,-0.1184363381392138,0.04985402315216966,-2.3756625975342054,0.020674578585120926,1,FALSE,FALSE,Higher in Healthy
43214,-0.09646158982688158,0.050438192046081014,-1.9124712031460795,0.06452834529091221,1,FALSE,FALSE,Higher in Healthy
43214.1,-0.06568131657840814,0.0510821720285084,-1.2857972550922878,0.20231798285919148,1,FALSE,FALSE,Higher in Healthy
71581,-0.0358100391959439,0.057168978051422986,-0.6263893533960515,0.5320869236965774,1,FALSE,FALSE,Higher in Healthy
140212.1,0.07902325654705339,0.05019946376310828,1.5741852725751184,0.12971680449410564,1,FALSE,FALSE,Higher in T2D
57078,-0.10386978401124293,0.0525010554669631,-1.9784323017392327,0.049828679373275044,1,FALSE,FALSE,Higher in Healthy
57078.1,-0.09242338171788328,0.05417152067169331,-1.706124926379961,0.08947028718670345,1,FALSE,FALSE,Higher in Healthy
114384,-0.041824356939296224,0.049872610334629364,-0.8386237788370827,0.40962767616063145,1,FALSE,FALSE,Higher in Healthy
102515,0.052153713132533905,0.04981567178532614,1.04693385160564,0.3027380868729282,1,FALSE,FALSE,Higher in T2D
102515.1,-0.06176507668248992,0.05009609577286047,-1.2329319426914525,0.22241008226157602,1,FALSE,FALSE,Higher in Healthy
131255.1,-0.003329311490234895,0.050680543661580514,-0.06569210291954211,0.9480077153460333,1,FALSE,FALSE,Higher in Healthy
77393,0.003924382489384978,0.049676701807433964,0.07899845091563037,0.9371842145612134,1,FALSE,FALSE,Higher in T2D
77393.1,0.09962801598542231,0.05062201180486148,1.9680769774514286,0.05063897584959808,1,FALSE,FALSE,Higher in T2D
242610.1,0.02724663620250543,0.050887813929494846,0.53542555866627894,0.5930809385386634,1,FALSE,FALSE,Higher in T2D
208608,0.08185627166422964,0.049855163630445495,1.641881516446207,0.11141646869603064,1,FALSE,FALSE,Higher in T2D
193861,0.035256271034884656,0.05033799925557799,0.7003907893891489,0.4873704738339485,1,FALSE,FALSE,Higher in T2D
193861.1,-0.04415031112212621,0.05027182765951652,-0.8782316692591641,0.3842857041415948,1,FALSE,FALSE,Higher in Healthy
208117,-0.05673380546792577,0.050674639650753514,-1.119569983307857,0.2720844103426153,1,FALSE,FALSE,Higher in Healthy
208117.1,-0.07379231676935266,0.050441612367389234,-1.4629254162592904,0.14796354101320416,1,FALSE,FALSE,Higher in Healthy
225355.1,0.057296704828629655,0.050315817996188235,1.1387413960550192,0.26605050412604214,1,FALSE,FALSE,Higher in T2D
113569.1,0.036505324212113804,0.05018706920926563,0.72738505729229,0.47466041120318947,1,FALSE,FALSE,Higher in T2D
10473.1,0.09588672146571021,0.049948885751882215,1.9196969065940963,0.05802892163802952,1,FALSE,FALSE,Higher in T2D
91820.1,0.004158897463549084,0.050615544447114774,0.08216640775037938,0.9347276017454446,1,FALSE,FALSE,Higher in T2D
219840.1,0.11217620997250162,0.049885110938579856,2.248691199877586,0.03322937692025741,1,FALSE,FALSE,Higher in T2D
149708,0.09200723524690567,0.04967895891874703,1.852036299661374,0.0699292224640508,1,FALSE,FALSE,Higher in T2D
149708.1,-0.05571924008365471,0.049876113884900215,-1.1171527960706553,0.26791914040434966,1,FALSE,FALSE,Higher in Healthy
170114,-0.03262179212991674,0.051286924091642,-0.6360645078193131,0.5262966541808132,1,FALSE,FALSE,Higher in Healthy
170114.1,0.003172470909209412,0.05171887841327553,0.061340674943853424,0.9511654222186561,1,FALSE,FALSE,Higher in T2D
140152.1,-0.00567161000396505,0.04985025435409186,-0.113772940127426,0.9100014749995627,1,FALSE,FALSE,Higher in Healthy
252422.1,-0.0290604108537878,0.05089732577131493,-0.5709614486300942,0.5692342867125041,1,FALSE,FALSE,Higher in Healthy
7451,0.08044436366102882,0.050780663590589165,1.584153454740143,0.12032083372156753,1,FALSE,FALSE,Higher in T2D
7451.1,-0.10425199505426207,0.050743796034308473,-2.0544776544461922,0.04460728469561917,1,FALSE,FALSE,Higher in Healthy
258109,-0.030902133756570506,0.05074120386132165,-0.6090145957322504,0.5442191075041609,1,FALSE,FALSE,Higher in Healthy
258109.1,0.015480790258645379,0.049135195781377136,0.31506519944533923,0.7531176110830651,1,FALSE,FALSE,Higher in T2D
226706,0.024204257788224725,0.04821250971207841,0.502032728285061,0.616716027892448,1,FALSE,FALSE,Higher in T2D
16188,-0.004149408873143409,0.04972715201810585,-0.0834435254130901,0.9340353931458005,1,FALSE,FALSE,Higher in Healthy
156414.1,0.008113426247024451,0.0506174074931565,0.16028924926906601,0.87337060405196,1,FALSE,FALSE,Higher in T2D
61324,0.0018865001219823556,0.049977380676131215,0.03774707870761487,0.9702635784145135,1,FALSE,FALSE,Higher in T2D
61324.1,-0.12233818611077556,0.050562225454384886,-2.4195569916348703,0.02314370679654508,1,FALSE,FALSE,Higher in Healthy
172945.1,-0.059870189173227874,0.04988643257520743,-1.20012969624495,0.2373285805070374,1,FALSE,FALSE,Higher in Healthy
103181.1,0.11759213805991028,0.051791470403424904,2.270492363779926,0.024537642465273277,1,FALSE,FALSE,Higher in T2D
