taxon,lfc_(Intercept),lfc_disease_groupT2D,se_(Intercept),se_disease_groupT2D,W_(Intercept),W_disease_groupT2D,p_(Intercept),p_disease_groupT2D,q_(Intercept),q_disease_groupT2D,diff_(Intercept),diff_disease_groupT2D,passed_ss_(Intercept),passed_ss_disease_groupT2D,diff_robust_(Intercept),diff_robust_disease_groupT2D
152005.1,-0.021642198193269988,0.05477645118125165,0.014396454938337595,0.048917927761075085,-1.5033005198826457,1.1197622975525612,0.1349668220569771,0.264692296659221,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
232486,-0.053679504537494364,0.1225369689700574,0.009374497288029795,0.05008609117630993,-5.726120866879678,2.446526891841298,1.9541520543357094e-6,0.019749159246016116,1.406989479121711e-4,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
232486.1,-0.03680152311645905,0.02810367217989036,0.012556377801630148,0.04985554485942318,-2.9309028206909518,0.5637020367370129,0.004561666355807622,0.5747584365304002,0.21895998507876585,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
117829,-0.12147187637229644,0.24705143036504232,0.011984660921725895,0.05052626600574678,-10.135612276863936,4.889564377010228,2.3448102451750746e-12,1.8734551034517085e-5,2.0634330157540658e-10,0.0016299059400029863,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
117829.1,0.03511202269886037,0.007686413414530611,0.01726274171448171,0.051313103724055974,2.0339771792683954,0.1497943577115403,0.045227066444492564,0.8812992216601128,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
244444,-0.17193352286145228,0.24530794347886145,0.014060267880828124,0.05059323486986759,-12.228324831270974,4.848631326101712,9.537284682122152e-13,4.195178919454088e-5,8.488183367088715e-11,0.0036078538707305157,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
244444.1,-0.27774727344714734,0.38609594873964276,0.011473527316503968,0.05066387030737803,-24.20766219361546,7.620735376061799,7.21275123176357e-24,5.123215134699133e-9,6.635731133222484e-22,4.713357923923202e-7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
248188.1,0.0773106906644754,-0.26072265450392634,0.014481468498529887,0.05020236100043002,5.3385946785938,-5.193434119596349,3.128780597274498e-6,5.077336549337663e-6,2.2214342240648935e-4,4.6203762598972733e-4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
121654,0.02675151446398048,-0.11997396161710651,0.010784182294619518,0.05006330811604873,2.48062520950962,-2.3964449440496844,0.020865742597217934,0.02507768381447257,0.7367478408429953,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
81126.1,0.03975582405577968,-0.08160260239416876,0.013914586183078056,0.050568072135421034,2.8571330496431098,-1.6137178845900515,0.006621933782947947,0.11407794558439516,0.3112308877985535,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
30468.1,-0.09255961328767165,0.06404783874081899,0.010515913197567731,0.04983890751360289,-8.801861668949506,1.2850971647670637,3.579345883045506e-11,0.2056374427646203,3.0424440005886798e-9,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
43467,-0.048882033504166804,-0.02019680045818138,0.010825195221043929,0.050007486560954634,-4.515579858471399,-0.40387553638720264,8.56466803241385e-5,0.6890769330756972,0.005481387540744864,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
43467.1,-0.10421526206939948,0.16289529671462166,0.01433215138840222,0.05040932348725044,-7.271431848935949,3.2314517522898565,2.008551098429454e-10,0.0017814296431200275,1.647011900712152e-8,0.133168553693622,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
65791.1,-0.060818411345637195,0.037811458137417354,0.009625242447949541,0.05002576631504126,-6.318636821308672,0.7558396586930158,9.177642989477657e-7,0.4562894458566634,6.883232242108243e-5,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
42037.1,0.025803347532655802,-0.1184363381392138,0.013497751702468135,0.04985402315216966,1.9116774483218213,-2.3756625975342054,0.06061804361064034,0.020674578585120926,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
43214,0.05688532236313852,-0.09646158982688158,0.014307655164871235,0.050438192046081014,3.97586618545335,-1.9124712031460795,3.60296014797153e-4,0.06452834529091221,0.020176576828640568,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
43214.1,0.00813122606503046,-0.06568131657840814,0.016573507243751832,0.0510821720285084,0.4906158935125763,-1.2857972550922878,0.6250755526942954,0.20231798285919148,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
179079,0.06712570076258174,-0.15203558742638307,0.011534638689054532,0.050158115363658315,5.819488808633319,-3.0311263954813445,5.31961239301297e-6,0.005762670891851549,3.670532551178949e-4,0.41491230421331154,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
179079.1,-0.10497416710050447,0.1273308655682733,0.01328353367334957,0.050679270531835324,-7.902578461566412,2.5124841820343007,3.6062283306015315e-11,0.014402403171196851,3.0424440005886798e-9,0.8785465934430079,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
71581,0.0358193801946086,-0.0358100391959439,0.028545753698581682,0.057168978051422986,1.2548059011799122,-0.6263893533960515,0.21165493640924793,0.5320869236965774,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
71581.1,-0.09878731834068864,0.21796916423831822,0.03608725445423773,0.06673068929820955,-2.7374573054860933,3.2664006101337626,0.006680026704669229,0.001257083479318904,0.3112308877985535,0.0967954279075556,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
140212.1,-0.1175987590006884,0.07902325654705339,0.009071094402604462,0.05019946376310828,-12.964120290372444,1.5741852725751184,8.888063678074335e-12,0.12971680449410564,7.643734763143929e-10,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
167925.1,0.010810166750303048,0.13280041173532448,0.009661912963441238,0.04983517301459602,1.118843317178138,2.6647928300846693,0.272714017556013,0.01263909477469747,1,0.7962629708059406,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
57078,0.06670986691976613,-0.10386978401124293,0.02234844317100067,0.0525010554669631,2.9849894424113095,-1.9784323017392327,0.003344082773051285,0.049828679373275044,0.16720413865256425,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
57078.1,0.06022890033904804,-0.09242338171788328,0.02523975872767441,0.05417152067169331,2.3862708431126722,-1.706124926379961,0.01791232537234147,0.08947028718670345,0.6627560387766344,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
114384,0.03950074730466261,-0.041824356939296224,0.00949410283914784,0.049872610334629364,4.160556081379888,-0.8386237788370827,3.2772018268827584e-4,0.40962767616063145,0.018759560436086398,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
102515,-0.02788929813156675,0.052153713132533905,0.009641222426481395,0.04981567178532614,-2.8927139005696674,1.04693385160564,0.006714358339212625,0.3027380868729282,0.3112308877985535,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
102515.1,0.02038972701507463,-0.06176507668248992,0.013498706949740062,0.05009609577286047,1.5104948267261453,-1.2329319426914525,0.13616610056565914,0.22241008226157602,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
21407,-0.04555053764644569,0.15099811191539692,0.03266444379926733,0.05945696697970391,-1.3944991050932085,2.5396201586761276,0.16536019792979806,0.012181437210425979,1,0.7796119814672626,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
21407.1,-0.10949797142213383,0.24343456193043542,0.0401331090430564,0.07446081072130846,-2.7283700175000156,3.2692977631087183,0.00684784699634831,0.0012404061254884169,0.3112308877985535,0.09675167778809651,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
254595,-0.09140701422230504,0.24463273243195066,0.020071452631186953,0.052317095367840113,-4.554080658829703,4.675961666295584,1.6822872989187334e-5,1.0492077412712075e-5,0.0011271324902755514,9.337948897313747e-4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
254595.1,-0.13694601113100746,0.25461867666039656,0.024354385741092027,0.05663959587044553,-5.623053382945512,4.495418315533149,7.298463985089931e-8,1.259717275851905e-5,5.765786548221046e-6,0.0011085512027496764,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
131255.1,0.07039761563883296,-0.003329311490234895,0.011746274821357434,0.050680543661580514,5.993186496099501,-0.06569210291954211,8.789363841887076e-7,0.9480077153460333,6.679916519834178e-5,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
44566,-0.1107894158557376,0.13540538430848295,0.01114738138831993,0.05026931737280241,-9.938604592090227,2.693599025908841,1.1024531619923922e-10,0.011806452066354915,9.150361244536855e-9,0.7674193843130694,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
44566.1,0.040376537361496635,-0.1459461642218664,0.014302150637985258,0.050965397158046606,2.823109501745849,-2.863632432202559,0.006952664914762977,0.006239665935830014,0.3112308877985535,0.436776615508101,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
77393,0.002463061811649075,0.003924382489384978,0.01695930491529533,0.049676701807433964,0.1452336533809047,0.07899845091563037,0.8848048234654847,0.9371842145612134,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
77393.1,-0.035528253221720964,0.09962801598542231,0.018277911518497426,0.05062201180486148,-1.9437807862110517,1.9680769774514286,0.053525734644213945,0.05063897584959808,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
60695.1,0.20869188192743174,-0.15109931649356187,0.01089125448101486,0.050501413260873575,19.161418208638313,-2.9919819414366255,8.817712697212485e-15,0.006947937164755116,8.024118554463361e-13,0.479407664368103,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
242610,0.09296188805314833,-0.12791847009811966,0.017713440359824917,0.050690391834735976,5.248098966928589,-2.5235249811279337,9.185779213952145e-7,0.013260632649637828,6.883232242108243e-5,0.8221592242775453,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
242610.1,-0.005566361634499123,0.02724663620250543,0.019175885123771472,0.050887813929494846,-0.2902792543119044,0.53542555866627894,0.7719693277821081,0.5930809385386634,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
208608,-0.01564956505067758,0.08185627166422964,0.009605774046980538,0.049855163630445495,-1.629183132367853,1.641881516446207,0.11409056878767446,0.11141646869603064,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
193861,-5.29797447293534e-4,0.035256271034884656,0.01219136232496876,0.05033799925557799,-0.04345678794308917,0.7003907893891489,0.9655340277669224,0.4873704738339485,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
193861.1,0.043684550647094054,-0.04415031112212621,0.014356670280775252,0.05027182765951652,3.04280517646151,-0.8782316692591641,0.0038291507350016745,0.3842857041415948,0.18762838601508205,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
208117,0.008150030160828641,-0.05673380546792577,0.014175978190735423,0.050674639650753514,0.5749183619762491,-1.119569983307857,0.5697803745504582,0.2720844103426153,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
208117.1,0.029713445917541575,-0.07379231676935266,0.015444077699544539,0.050441612367389234,1.923937867679716,-1.4629254162592904,0.05842891043947231,0.14796354101320416,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
225355.1,-0.05140817204800299,0.057296704828629655,0.011024272194445186,0.050315817996188235,-4.663180583830839,1.1387413960550192,9.778656950897328e-5,0.26605050412604214,0.006160553879065316,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
113569.1,0.060605141456214706,0.036505324212113804,0.010601986581209043,0.05018706920926563,5.716394846568777,0.72738505729229,9.481421725695093e-6,0.47466041120318947,6.447366773472663e-4,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
10473,-0.06321125293195345,0.18875350692468051,0.013688016473530523,0.05018612233974114,-4.617999478170521,3.761069756433669,2.0492193943516357e-5,3.8168674541708353e-4,0.0013319926063285633,0.030993102860296114,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
10473.1,-0.03371201629333941,0.09588672146571021,0.013768334864409133,0.049948885751882215,-2.448518039787389,1.9196969065940963,0.016261498892252257,0.05802892163802952,0.6179369579055858,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
91820,-0.02488692716596319,0.2270555854390262,0.012147420934302424,0.050299846104219614,-2.048741646524028,4.514041354491911,0.048269447528120735,7.260961684456399e-5,1,0.0060992078149433755,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
91820.1,0.06436215712982832,0.004158897463549084,0.016285801395843114,0.050615544447114774,3.9520411409570855,0.08216640775037938,1.7059071509237456e-4,0.9347276017454446,0.010406033620634848,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
219840.1,0.01183869233832669,0.11217620997250162,0.009374621061858681,0.049885110938579856,1.2628448936985046,2.248691199877586,0.21785363902121463,0.03322937692025741,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
149708,-0.03514443820472535,0.09200723524690567,0.011169058335223839,0.04967895891874703,-3.146589188623932,1.852036299661374,0.0027822866984948793,0.0699292224640508,0.14189662162323885,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
149708.1,0.032234265989014736,-0.05571924008365471,0.013577535282964348,0.049876113884900215,2.3740881770684017,-1.1171527960706553,0.020465217801194313,0.26791914040434966,0.7367478408429953,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
170114,0.03469399349062685,-0.03262179212991674,0.01869039559115199,0.051286924091642,1.856247146906347,-0.6360645078193131,0.0665846298832541,0.5262966541808132,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
170114.1,0.02885776074643676,0.003172470909209412,0.019936161298412282,0.05171887841327553,1.4475083901299994,0.061340674943853424,0.1497358526002495,0.9511654222186561,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
140152,0.028139174311550032,-0.14197531151192827,0.012028898869582813,0.0500849653750938,2.3392976045966174,-2.8346892215788495,0.027276062542217257,0.008757374682122942,0.9001100638931695,0.5867441037022371,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
140152.1,-0.010553081567285441,-0.00567161000396505,0.011335547764140386,0.04985025435409186,-0.9309723523612816,-0.113772940127426,0.35759526672243025,0.9100014749995627,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
252422,-0.08034174740578484,0.19228303908994449,0.015003393086477463,0.0507582612228794,-5.354905183294621,3.7882117010594616,1.7271740223682458e-6,3.779646690280014e-4,1.2608370363288195e-4,0.030993102860296114,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
252422.1,0.014381236289947696,-0.0290604108537878,0.016869548250294585,0.05089732577131493,0.8524968230667684,-0.5709614486300942,0.3958604908865222,0.5692342867125041,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
7451,-0.03329946498441801,0.08044436366102882,0.013978701053010849,0.050780663590589165,-2.382157316201114,1.584153454740143,0.021599592544142107,0.12032083372156753,0.7367478408429953,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
7451.1,0.058795949092319,-0.10425199505426207,0.014995899387900812,0.050743796034308473,3.920801785303889,-2.0544776544461922,2.430197402486534e-4,0.04460728469561917,0.01433816467467055,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
258109,0.02538419451791904,-0.030902133756570506,0.016024443468861477,0.05074120386132165,1.584092113229725,-0.6090145957322504,0.11706953887515645,0.5442191075041609,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
258109.1,0.010115027546314284,0.015480790258645379,0.016447049769667658,0.049135195781377136,0.6150055899367949,0.31506519944533923,0.5394139435675339,0.7531176110830651,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
226706,0.03309546866573476,0.024204257788224725,0.010625627102581739,0.04821250971207841,3.1146838060685815,0.502032728285061,0.00238519829522589,0.616716027892448,0.12403031135174628,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
16188,0.00720455275937677,-0.004149408873143409,0.009423583323495377,0.04972715201810585,0.764523696778273,-0.0834435254130901,0.450336028999174,0.9340353931458005,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
16188.1,-0.03426021834624857,0.16045459137649085,0.00987155737547247,0.050084111067931474,-3.4705991205981124,3.2037024907731437,0.0015503771088932214,0.0031345319307838912,0.08372036388023396,0.22882083094722405,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
156414,0.07332035918190266,-0.20412989589714367,0.014456902955130179,0.05050238161076929,5.07165050560737,-4.041985533878552,1.7490157095363072e-5,3.25020381909998e-4,0.0011543503682939628,0.026976691698529835,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
156414.1,0.019731744645667872,0.008113426247024451,0.014447744420120626,0.0506174074931565,1.365731845186055,0.16028924926906601,0.1788109000779257,0.87337060405196,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
61324,-0.026905634239977064,0.0018865001219823556,0.0095607394609414,0.049977380676131215,-2.8141792117539617,0.03774707870761487,0.010715516296280665,0.9702635784145135,0.4500516844437879,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
61324.1,0.03834880897379497,-0.12233818611077556,0.014049517132778565,0.050562225454384886,2.729546404432958,-2.4195569916348703,0.011446273578790103,0.02314370679654508,0.4692972167303942,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
8406,0.06454655039538662,-0.1939152488517106,0.015848007495928077,0.051394493132402935,4.072849562443162,-3.773074448893668,2.0124897427425853e-4,4.994219088951606e-4,0.012074938456455511,0.03995375271161285,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
8406.1,-0.14584196379262393,0.16898379891704968,0.016774773549241853,0.05165210117307934,-8.69412414805536,3.271576471803294,3.2393714808949844e-12,0.0017755807159149598,2.8182531883786365e-10,0.133168553693622,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
172945,-0.13248805586876358,0.13900292280002946,0.009528815225082438,0.050154703718262576,-13.903937975417858,2.771483280628274,2.8745688822800047e-13,0.010380333722243243,2.587111994052004e-11,0.685102025668054,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
172945.1,-0.020293561574754197,-0.059870189173227874,0.010276321529898911,0.04988643257520743,-1.9747884995336291,-1.20012969624495,0.05540215526328121,0.2373285805070374,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
103181,-0.07271404064658614,0.16909064328165196,0.017751807344109274,0.05173247812490169,-4.096148591355428,3.268558735450551,9.805594119459155e-5,0.0015806108353391172,0.006160553879065316,0.1201264234857729,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
103181.1,-0.04487734896858051,0.11759213805991028,0.018377542223420668,0.051791470403424904,-2.441966854054511,2.270492363779926,0.01571763468517986,0.024537642465273277,0.6129877527220144,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
