taxon,lfc,se,W,p_value,q_value,diff_abundant,diff_robust,direction,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Superkingdom.1,best_taxon_label
16188.1,0.16045459137649085,0.050084111067931474,3.2037024907731437,0.0031345319307838912,0.22882083094722405,FALSE,FALSE,Higher in T2D,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA,Bacteria;;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;NA,o__Enterobacterales_unclassified
256813,-0.14599801581346572,0.05024996969745255,-2.9054349025979045,0.005828765512441129,0.41491230421331154,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,NA,Bacteria;;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella,g__Collinsella
179079,-0.15203558742638307,0.050158115363658315,-3.0311263954813445,0.005762670891851549,0.41491230421331154,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,g__Roseburia
44566.1,-0.1459461642218664,0.050965397158046606,-2.863632432202559,0.006239665935830014,0.436776615508101,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,NA,Bacteria;;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;NA,g__Holdemanella
60695.1,-0.15109931649356187,0.050501413260873575,-2.9919819414366255,0.006947937164755116,0.479407664368103,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,NA,Bacteria;;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus;NA,g__Acidaminococcus
256813.1,-0.13708727360303985,0.050833123720453684,-2.696809945360099,0.008356818807670004,0.5682636789215603,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,NA,Bacteria;;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;NA,g__Collinsella
140152,-0.14197531151192827,0.0500849653750938,-2.8346892215788495,0.008757374682122942,0.5867441037022371,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,NA,NA,Bacteria;;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;NA,f__Sutterellaceae
172945,0.13900292280002946,0.050154703718262576,2.771483280628274,0.010380333722243243,0.685102025668054,FALSE,FALSE,Higher in T2D,Bacteria,NA,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,NA,Bacteria;;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia,g__Akkermansia
44566,0.13540538430848295,0.05026931737280241,2.693599025908841,0.011806452066354915,0.7674193843130694,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,NA,Bacteria;;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella,g__Holdemanella
21407,0.15099811191539692,0.05945696697970391,2.5396201586761276,0.012181437210425979,0.7796119814672626,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA,f__Ruminococcaceae
167925.1,0.13280041173532448,0.04983517301459602,2.6647928300846693,0.01263909477469747,0.7962629708059406,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia;NA,g__Romboutsia
242610,-0.12791847009811966,0.050690391834735976,-2.5235249811279337,0.013260632649637828,0.8221592242775453,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,NA,Bacteria;;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium,g__Phascolarctobacterium
179079.1,0.1273308655682733,0.050679270531835324,2.5124841820343007,0.014402403171196851,0.8785465934430079,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA,g__Roseburia
140233,-0.015186146151590271,0.0506907655820103,-0.2995840756640633,0.765736304043337,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bacteria;;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,g__Bifidobacterium
140233.1,-0.12485415113401238,0.05167518940766959,-2.4161334010607733,0.01720608181458415,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bacteria;;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA,g__Bifidobacterium
192138,-0.05339783203967633,0.05206590754373125,-1.0255815092597085,0.3069505739034741,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,g__Bacteroides
240960.1,-4.476789383667899e-4,0.04990825673362271,-0.008970037578274958,0.9928912330413193,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA,g__Barnesiella
114812.1,-0.0231722842257796,0.04991435044116419,-0.46424092512420034,0.6461967219580642,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;NA,g__Butyricimonas
228402.1,-0.006007718369517511,0.04983379342490204,-0.1205551084239845,0.9050071032369025,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;NA,g__Paraprevotella
257397,0.0720248527352785,0.05104144710877356,1.4111052255588985,0.16440583911877996,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA,f__Prevotellaceae
257397.1,0.016794476714737407,0.05097514467403425,0.32946403236580096,0.7426880721362348,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA,f__Prevotellaceae
34164,0.10498786395676704,0.0516851946126397,2.0312947400819517,0.044751357753539917,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes,g__Alistipes
34164.1,0.021599393520060347,0.05277600283185088,0.40926543051920716,0.6828693000681493,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA,g__Alistipes
152005.1,0.05477645118125165,0.048917927761075085,1.1197622975525612,0.264692296659221,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA,g__Parabacteroides
232486,0.1225369689700574,0.05008609117630993,2.446526891841298,0.019749159246016116,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA,o__Bacteroidales_unclassified
232486.1,0.02810367217989036,0.04985554485942318,0.5637020367370129,0.5747584365304002,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA,o__Bacteroidales_unclassified
117829.1,0.007686413414530611,0.051313103724055974,0.1497943577115403,0.8812992216601128,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,Bacteria;;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA,g__Streptococcus
121654,-0.11997396161710651,0.05006330811604873,-2.3964449440496844,0.02507768381447257,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,[Eubacterium]_eligens,Bacteria;;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;[Eubacterium]_eligens,s__[Eubacterium]_eligens
81126.1,-0.08160260239416876,0.050568072135421034,-1.6137178845900515,0.11407794558439516,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Agathobacter;NA,g__Agathobacter
30468.1,0.06404783874081899,0.04983890751360289,1.2850971647670637,0.2056374427646203,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;NA,g__Anaerostipes
43467,-0.02019680045818138,0.050007486560954634,-0.40387553638720264,0.6890769330756972,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,g__Blautia
65791.1,0.037811458137417354,0.05002576631504126,0.7558396586930158,0.4562894458566634,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter;NA,g__Fusicatenibacter
42037.1,-0.1184363381392138,0.04985402315216966,-2.3756625975342054,0.020674578585120926,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;NA,g__Lachnoclostridium
43214,-0.09646158982688158,0.050438192046081014,-1.9124712031460795,0.06452834529091221,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira,g__Lachnospira
43214.1,-0.06568131657840814,0.0510821720285084,-1.2857972550922878,0.20231798285919148,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;NA,g__Lachnospira
71581,-0.0358100391959439,0.057168978051422986,-0.6263893533960515,0.5320869236965774,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA,f__Lachnospiraceae
140212.1,0.07902325654705339,0.05019946376310828,1.5741852725751184,0.12971680449410564,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;NA,g__Oscillibacter
57078,-0.10386978401124293,0.0525010554669631,-1.9784323017392327,0.049828679373275044,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium,g__Faecalibacterium
57078.1,-0.09242338171788328,0.05417152067169331,-1.706124926379961,0.08947028718670345,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA,g__Faecalibacterium
114384,-0.041824356939296224,0.049872610334629364,-0.8386237788370827,0.40962767616063145,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_bromii,Bacteria;;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus_bromii,s__Ruminococcus_bromii
102515,0.052153713132533905,0.04981567178532614,1.04693385160564,0.3027380868729282,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum,g__Subdoligranulum
102515.1,-0.06176507668248992,0.05009609577286047,-1.2329319426914525,0.22241008226157602,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;NA,g__Subdoligranulum
131255.1,-0.003329311490234895,0.050680543661580514,-0.06569210291954211,0.9480077153460333,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,NA,Bacteria;;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;NA,g__Erysipelatoclostridium
77393,0.003924382489384978,0.049676701807433964,0.07899845091563037,0.9371842145612134,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA,Bacteria;;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;NA,f__Erysipelotrichaceae
77393.1,0.09962801598542231,0.05062201180486148,1.9680769774514286,0.05063897584959808,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA,NA,Bacteria;;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;NA;NA,f__Erysipelotrichaceae
242610.1,0.02724663620250543,0.050887813929494846,0.53542555866627894,0.5930809385386634,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,NA,Bacteria;;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;NA,g__Phascolarctobacterium
208608,0.08185627166422964,0.049855163630445495,1.641881516446207,0.11141646869603064,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas_sp_Marseille-P3344,Bacteria;;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas_sp._Marseille-P3344,s__Megamonas_sp_Marseille-P3344
193861,0.035256271034884656,0.05033799925557799,0.7003907893891489,0.4873704738339485,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,NA,Bacteria;;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas,g__Megamonas
193861.1,-0.04415031112212621,0.05027182765951652,-0.8782316692591641,0.3842857041415948,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,NA,Bacteria;;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;NA,g__Megamonas
208117,-0.05673380546792577,0.050674639650753514,-1.119569983307857,0.2720844103426153,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,NA,Bacteria;;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister,g__Dialister
208117.1,-0.07379231676935266,0.050441612367389234,-1.4629254162592904,0.14796354101320416,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,NA,Bacteria;;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;NA,g__Dialister
225355.1,0.057296704828629655,0.050315817996188235,1.1387413960550192,0.26605050412604214,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,NA,Bacteria;;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;NA,g__Megasphaera
113569.1,0.036505324212113804,0.05018706920926563,0.72738505729229,0.47466041120318947,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,NA,Bacteria;;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;NA,g__Veillonella
10473.1,0.09588672146571021,0.049948885751882215,1.9196969065940963,0.05802892163802952,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,NA,NA,NA,NA,NA,Bacteria;;Firmicutes;NA;NA;NA;NA;NA,p__Firmicutes_unclassified
91820.1,0.004158897463549084,0.050615544447114774,0.08216640775037938,0.9347276017454446,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA,Bacteria;;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;NA,g__Fusobacterium
219840.1,0.11217620997250162,0.049885110938579856,2.248691199877586,0.03322937692025741,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA,NA,Bacteria;;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;NA;NA,f__Fusobacteriaceae
149708,0.09200723524690567,0.04967895891874703,1.852036299661374,0.0699292224640508,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,NA,Bacteria;;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella,g__Parasutterella
149708.1,-0.05571924008365471,0.049876113884900215,-1.1171527960706553,0.26791914040434966,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,NA,Bacteria;;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;NA,g__Parasutterella
170114,-0.03262179212991674,0.051286924091642,-0.6360645078193131,0.5262966541808132,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,NA,Bacteria;;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella,g__Sutterella
170114.1,0.003172470909209412,0.05171887841327553,0.061340674943853424,0.9511654222186561,1,FALSE,FALSE,Higher in T2D,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,NA,Bacteria;;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;NA,g__Sutterella
140152.1,-0.00567161000396505,0.04985025435409186,-0.113772940127426,0.9100014749995627,1,FALSE,FALSE,Higher in Healthy,Bacteria,NA,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,NA,NA,Bacteria;;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;NA;NA,f__Sutterellaceae
